date,grossProfit,researchDevelopment,sellingGeneralAdministrative,totalOperatingExpenses,costOfRevenue
12/31/2020,44328000000,5163000000,5631000000,77905000000,67111000000
9/30/2020,24689000000,4978000000,4936000000,9914000000,40009000000
6/30/2020,22680000000,4758000000,4831000000,9589000000,37005000000
3/31/2020,22370000000,4565000000,4952000000,9517000000,35943000000
12/31/2019,35217000000,4451000000,5197000000,9648000000,56602000000
9/30/2019,24313000000,4110000000,4578000000,8688000000,39727000000
6/30/2019,20227000000,4257000000,4426000000,8683000000,33582000000
3/31/2019,21821000000,3948000000,4458000000,8406000000,36194000000
12/31/2018,32031000000,3902000000,4783000000,8685000000,52279000000
9/30/2018,24084000000,3750000000,4216000000,7966000000,38816000000
6/30/2018,20421000000,3701000000,4108000000,7809000000,32844000000
3/31/2018,23422000000,3378000000,4150000000,7528000000,37715000000
12/31/2017,33912000000,3407000000,4231000000,7638000000,54381000000
9/30/2017,19931000000,2997000000,3814000000,6811000000,32648000000
6/30/2017,17488000000,2937000000,3783000000,6720000000,27920000000
3/31/2017,20591000000,2776000000,3718000000,6494000000,32305000000
12/31/2016,30176000000,2871000000,3946000000,6817000000,48175000000
9/30/2016,17813000000,2570000000,3482000000,6052000000,29039000000
6/30/2016,16106000000,2560000000,3441000000,6001000000,26252000000
3/31/2016,19921000000,2511000000,3423000000,5934000000,30636000000
12/31/2015,30423000000,2404000000,3848000000,6252000000,45449000000
9/30/2015,20548000000,2220000000,3705000000,5925000000,30953000000
6/30/2015,19681000000,2034000000,3564000000,5598000000,29924000000
3/31/2015,23656000000,1918000000,3460000000,5378000000,34354000000
12/31/2014,29741000000,1895000000,3600000000,5495000000,44858000000
9/30/2014,16009000000,1686000000,3158000000,4844000000,26114000000
6/30/2014,14735000000,1603000000,2850000000,4453000000,22697000000
3/31/2014,17947000000,1422000000,2932000000,4354000000,27699000000
12/31/2013,21846000000,1330000000,3053000000,4383000000,35748000000
9/30/2013,13871000000,1168000000,2673000000,3841000000,21818000000
6/30/2013,13024000000,1178000000,2645000000,3823000000,22299000000
3/31/2013,16349000000,1119000000,2672000000,3791000000,27254000000
12/31/2012,21060000000,1010000000,2840000000,3850000000,33452000000
9/30/2012,14401000000,906000000,2551000000,3457000000,21565000000
6/30/2012,14994000000,876000000,2545000000,3421000000,20029000000
3/31/2012,18564000000,841000000,2339000000,3180000000,20622000000
12/31/2011,20703000000,758000000,2605000000,3363000000,25630000000
9/30/2011,11380000000,645000000,2025000000,2670000000,16890000000
6/30/2011,11922000000,628000000,1915000000,2543000000,16649000000
3/31/2011,10218000000,581000000,1763000000,2344000000,14449000000
12/31/2010,10298000000,575000000,1896000000,2471000000,16443000000
9/30/2010,7512000000,494000000,1571000000,2065000000,12831000000
6/30/2010,6136000000,464000000,1438000000,1902000000,9564000000
3/31/2010,5625000000,426000000,1220000000,1646000000,7874000000
