Name,Description,Category,Installs,Score,No_of_Rating,InApp_Products_Price,Min_Product_Price,Max_Product_Price,Size,Ads,Last Update,Price,IAP,Android,Permissions
"Badoo — Dating App to Chat, Date & Meet New People 1","Enjoy meeting new people near you, join the best free online dating app today.",Social,"100,000,000",4,"5,301,712",$0.99 - $239.99 per item,0.99,239.99,49,yes,Fri Jan 22 2021,Free,yes,5,28
"Tinder - Dating, Make Friends and Meet New People 5","App to Match, Chat & Date with New People - online, near you & around the world!",Lifestyle,"100,000,000",3.4,"4,159,404",$0.99 - $299.99 per item,0.99,299.99,116,yes,Thu Jan 21 2021,Free,yes,6,23
JAUMO Dating – Flirt With Local Singles 18,#1 Dating App to Chat & Flirt with 50M Singles ❤️ Find Love & Make New Friends,Social,"50,000,000",4.5,"1,251,589",$3.49 - $119.99 per item,3.49,119.99,67,yes,Mon Jan 11 2021,Free,yes,5,14
LOVOO 43,"Matching, flirting, dating and love – LOVOO, the free dating app of the year",Social,"50,000,000",4,"1,036,924",$0.99 - $349.99 per item,0.99,349.99,,yes,Mon Jan 18 2021,Free,yes,-,19
Plenty of Fish Free Dating App 4,Plenty of Fish Dating App has the most FREE features for you to meet and date 💞,Social,"50,000,000",3.7,"1,547,078",$0.99 - $399.99 per item,0.99,399.99,,yes,Mon Jan 25 2021,Free,yes,-,21
happn – Local dating app 10,Find the people you’ve crossed paths with!,Lifestyle,"50,000,000",4,"1,534,239",$0.99 - $144.99 per item,0.99,144.99,70,yes,Mon Jan 25 2021,Free,yes,5,18
BLOOM — Premium Dating & Find Real Love 104,"Stay Connected ❤️ 50 Million Singles. The Perfect Date, Find True Love ❤️",Dating,"10,000,000",4.5,"379,129",$2.49 - $349.00 per item,2.49,349.00,40,yes,Fri Nov 13 2020,Free,yes,5,21
"Bumble – Dating, Make New Friends & Networking 9","Bumble helps you chat & meet new people, and women always make the first move 💛",Lifestyle,"10,000,000",3.4,"219,922",$0.99 - $149.99 per item,0.99,149.99,36,no,Thu Jan 28 2021,Free,yes,5,22
Chat & Date: Dating Made Simple to Meet New People 35,The free dating app you need to meet local singles and make friends. Join now!,Dating,"10,000,000",3.9,"347,495",$0.99 - $159.99 per item,0.99,159.99,52,yes,Fri Jan 22 2021,Free,yes,5,26
Dating and Chat - SweetMeet 92,"Meet New People and Find Dates with the Best Dating App! Match, Chat, Love.",Dating,"10,000,000",4.1,"87,494",$0.99 - $110.00 per item,0.99,110.00,31,yes,Fri Jan 15 2021,Free,yes,5,19
